date,state,county,zip,agency,agency_id,ori,type,population_policed,operating_budget,agency_type
2025-05-16 am,FLORIDA,NA,32118,daytona beach shores public safety,636716,FL0640500,Task Force Model,4541,5309600,(003) Local Police
2025-05-16 am,FLORIDA,NA,32720,deland police,636718,FL0640200,Task Force Model,33532,7000000,(003) Local Police
2025-05-16 am,FLORIDA,DeSoto County,34266,desoto county sheriff,636720,FL0140000,Warrant Service Officer,37489,10739429,(001) Sheriff
2025-05-16 am,FLORIDA,DeSoto County,34266,desoto county sheriff,636720,FL0140000,Task Force Model,37489,10739429,(001) Sheriff
2025-05-16 am,FLORIDA,Dixie County,32628,dixie county sheriff,636722,FL0150000,Warrant Service Officer,16700,4590231,(001) Sheriff
2025-05-16 am,FLORIDA,Dixie County,32628,dixie county sheriff,636722,FL0150000,Task Force Model,16700,4590231,(001) Sheriff
2025-05-16 am,FLORIDA,NA,32809,edgewood police,636731,FL0481000,Task Force Model,2977,1798900,(003) Local Police
2025-05-16 am,FLORIDA,Escambia County,32501,escambia county sheriff,636734,FL0170000,Warrant Service Officer,315534,60239867,(001) Sheriff
2025-05-16 am,FLORIDA,Escambia County,32501,escambia county sheriff,636734,FL0170000,Task Force Model,315534,60239867,(001) Sheriff
2025-05-16 am,FLORIDA,NA,32727,eustis police,636735,FL0350100,Task Force Model,21083,5618042,(003) Local Police
2025-05-16 am,FLORIDA,Flagler County,32110,flagler county sheriff,636739,FL0180000,Warrant Service Officer,112067,31778384,(001) Sheriff
2025-05-16 am,FLORIDA,Flagler County,32110,flagler county sheriff,636739,FL0180000,Task Force Model,112067,31778384,(001) Sheriff
2025-05-16 am,FLORIDA,NA,NA,florida a&m university board of trustees,NA,NA,Task Force Model,NA,NA,NA
2025-05-16 am,FLORIDA,NA,32399,florida of corrections,426628,,Jail Enforcement Model,NA,NA,(649) Criminal Investigations- Other/Multiple Types
2025-05-16 am,FLORIDA,NA,32399,florida of financial services,636749,-1,Task Force Model,NA,34915433,(643) Fraud Investigations
2025-05-16 am,FLORIDA,NA,NA,"florida of highway safety and motor vehicles, of highway patrol",NA,NA,Task Force Model,NA,NA,NA
2025-05-16 am,FLORIDA,NA,32399,florida of law enforcement,636751,FL0370100,Task Force Model,NA,342300000,(641) State Bureau of Investigation
2025-05-16 am,FLORIDA,NA,NA,florida of lottery services,NA,NA,Task Force Model,NA,NA,NA
2025-05-16 am,FLORIDA,NA,32399,florida fish and wildlife conservation commission,636755,-1,Task Force Model,NA,120879312,(621) Fish and Wildlife Conservation Laws
2025-05-16 am,FLORIDA,NA,33965,florida gulf coast university police,636756,FL0360700,Task Force Model,NA,1700000,(611) 4-year University/College
2025-05-16 am,FLORIDA,NA,NA,florida national guard,NA,NA,Task Force Model,NA,NA,NA
2025-05-16 am,FLORIDA,NA,33919,florida southwestern state college police,636732,FL0361300,Task Force Model,NA,2232604,(611) 4-year University/College
2025-05-16 am,FLORIDA,NA,NA,florida state guard,NA,NA,Task Force Model,NA,NA,NA
2025-05-16 am,FLORIDA,NA,32548,fort walton beach police,636768,FL0460200,Task Force Model,22284,3000000,(003) Local Police
2025-05-16 am,FLORIDA,Franklin County,32328,franklin county sheriff,636769,FL0190000,Warrant Service Officer,11736,5464939,(001) Sheriff
2025-05-16 am,FLORIDA,Franklin County,32328,franklin county sheriff,636769,FL0190000,Task Force Model,11736,5464939,(001) Sheriff
2025-05-16 am,FLORIDA,Gadsden County,32353,gadsden county sheriff,636771,FL0200000,Warrant Service Officer,45894,7631000,(001) Sheriff
2025-05-16 am,FLORIDA,Gadsden County,32353,gadsden county sheriff,636771,FL0200000,Task Force Model,45894,7631000,(001) Sheriff
2025-05-16 am,FLORIDA,Gilchrist County,32693,gilchrist county sheriff,636774,FL0210000,Warrant Service Officer,18256,5056000,(001) Sheriff
2025-05-16 am,FLORIDA,Gilchrist County,32693,gilchrist county sheriff,636774,FL0210000,Task Force Model,18256,5056000,(001) Sheriff
2025-05-16 am,FLORIDA,Glades County,33471,glades county sheriff,636775,FL0220000,Warrant Service Officer,13724,4600000,(001) Sheriff
2025-05-16 am,FLORIDA,Glades County,33471,glades county sheriff,636775,FL0220000,Task Force Model,13724,4600000,(001) Sheriff
2025-05-16 am,FLORIDA,NA,32043,green cove springs police,636779,FL0100100,Task Force Model,8313,2793593,(003) Local Police
2025-05-16 am,FLORIDA,Gulf County,NA,gulf county board of county commissioners,NA,NA,Warrant Service Officer,NA,NA,NA
2025-05-16 am,FLORIDA,Gulf County,32457,gulf county sheriff,636784,FL0230000,Task Force Model,16164,2700000,(001) Sheriff
2025-05-16 am,FLORIDA,NA,33707,gulfport police,636785,FL0520500,Task Force Model,12401,3583711,(003) Local Police
2025-05-16 am,FLORIDA,Hamilton County,32052,hamilton county sheriff,636789,FL0240000,Warrant Service Officer,14310,5016606,(001) Sheriff
2025-05-16 am,FLORIDA,Hamilton County,32052,hamilton county sheriff,636789,FL0240000,Task Force Model,14310,5016606,(001) Sheriff
2025-05-16 am,FLORIDA,Hardee County,33873,hardee county sheriff,636791,FL0250000,Warrant Service Officer,27245,9699946,(001) Sheriff
2025-05-16 am,FLORIDA,Hardee County,33873,hardee county sheriff,636791,FL0250000,Task Force Model,27245,9699946,(001) Sheriff
2025-05-16 am,FLORIDA,NA,32333,havana police,636792,FL0200300,Task Force Model,1707,954000,(003) Local Police
2025-05-16 am,FLORIDA,Hendry County,33975,hendry county sheriff,636795,FL0260000,Warrant Service Officer,41556,12785051,(001) Sheriff
2025-05-16 am,FLORIDA,Hendry County,33975,hendry county sheriff,636795,FL0260000,Task Force Model,41556,12785051,(001) Sheriff
2025-05-16 am,FLORIDA,Hernando County,34601,hernando county sheriff,636796,FL0270000,Jail Enforcement Model,190865,48568813,(001) Sheriff
2025-05-16 am,FLORIDA,Hernando County,34601,hernando county sheriff,636796,FL0270000,Warrant Service Officer,190865,48568813,(001) Sheriff
2025-05-16 am,FLORIDA,Hernando County,34601,hernando county sheriff,636796,FL0270000,Task Force Model,190865,48568813,(001) Sheriff
2025-05-16 am,FLORIDA,NA,32655,high springs police,636801,FL0010400,Task Force Model,6137,1200000,(003) Local Police
2025-05-16 am,FLORIDA,NA,33487,highland beach police,636799,FL0503800,Task Force Model,3915,2543446,(003) Local Police
2025-05-16 am,FLORIDA,Highlands County,33870,highlands county sheriff,636800,FL0280000,Warrant Service Officer,105424,26999357,(001) Sheriff
2025-05-16 am,FLORIDA,Highlands County,33870,highlands county sheriff,636800,FL0280000,Task Force Model,105424,26999357,(001) Sheriff
2025-05-16 am,FLORIDA,Hillsborough County,33601,hillsborough county sheriff,636803,FL0290000,Warrant Service Officer,1436888,406256865,(001) Sheriff
2025-05-16 am,FLORIDA,Hillsborough County,33601,hillsborough county sheriff,636803,FL0290000,Task Force Model,1436888,406256865,(001) Sheriff
2025-05-16 am,FLORIDA,NA,32117,holly hill police,636804,FL0640700,Task Force Model,12316,2300000,(003) Local Police
2025-05-16 am,FLORIDA,NA,34217,holmes beach police,636806,FL0410400,Task Force Model,4295,3056439,(003) Local Police
2025-05-16 am,FLORIDA,Holmes County,32425,holmes county sheriff,636807,FL0300000,Warrant Service Officer,19477,3400000,(001) Sheriff
2025-05-16 am,FLORIDA,Holmes County,32425,holmes county sheriff,636807,FL0300000,Task Force Model,19477,3400000,(001) Sheriff
2025-05-16 am,FLORIDA,NA,NA,indialantic police,NA,NA,Task Force Model,NA,NA,NA
2025-05-16 am,FLORIDA,NA,32937,indian harbour beach police,636812,FL0050600,Task Force Model,8565,3011951,(003) Local Police
2025-05-16 am,FLORIDA,Indian River County,32960,indian river county sheriff,636813,FL0310000,Warrant Service Officer,157413,46967193,(001) Sheriff
2025-05-16 am,FLORIDA,Indian River County,32960,indian river county sheriff,636813,FL0310000,Task Force Model,157413,46967193,(001) Sheriff
2025-05-16 am,FLORIDA,NA,32963,indian river shores of public safety,636814,FL0310400,Task Force Model,4252,3478630,(003) Local Police
2025-05-16 am,FLORIDA,NA,33785,indian shores police,636815,FL0521700,Task Force Model,1476,1328691,(003) Local Police
2025-05-16 am,FLORIDA,Jackson County,NA,jackson county correctional facility,NA,NA,Warrant Service Officer,NA,NA,NA
2025-05-16 am,FLORIDA,Jackson County,32447,jackson county sheriff,636818,FL0320000,Task Force Model,48305,4949211,(001) Sheriff
2025-05-16 am,FLORIDA,Duval County,32202,jacksonville sheriff,636822,FL0160200,Jail Enforcement Model,903889,408524452,(003) Local Police
2025-05-16 am,FLORIDA,Duval County,32202,jacksonville sheriff,636822,FL0160200,Task Force Model,903889,408524452,(003) Local Police
2025-05-16 am,FLORIDA,Jefferson County,32344,jefferson county sheriff,636824,FL0330000,Warrant Service Officer,14288,4091402,(001) Sheriff
2025-05-16 am,FLORIDA,Jefferson County,32344,jefferson county sheriff,636824,FL0330000,Task Force Model,14288,4091402,(001) Sheriff
2025-05-16 am,FLORIDA,NA,33408,juno beach police,636826,FL0501600,Task Force Model,3648,2900000,(003) Local Police
2025-05-16 am,FLORIDA,NA,33469,jupiter inlet colony police,636828,FL0501800,Task Force Model,452,1055217,(003) Local Police
2025-05-16 am,FLORIDA,NA,NA,jupiter island of public safety,NA,NA,Task Force Model,NA,NA,NA
2025-05-16 am,FLORIDA,NA,33458,jupiter police,636831,FL0501700,Task Force Model,65524,21192374,(003) Local Police
2025-05-16 am,FLORIDA,NA,33709,kenneth city police,636832,FL0520700,Task Force Model,5059,1133450,(003) Local Police
2025-05-16 am,FLORIDA,NA,33051,key colony beach police,636834,FL0440200,Task Force Model,814,625000,(003) Local Police
2025-05-16 am,FLORIDA,NA,33040,key west police,636835,FL0440100,Task Force Model,24565,15289296,(003) Local Police
2025-05-16 am,FLORIDA,NA,32159,lady lake police,636837,FL0351300,Task Force Model,15622,3500000,(003) Local Police
2025-05-16 am,FLORIDA,Lafayette County,32066,lafayette county sheriff,636838,FL0340000,Warrant Service Officer,8732,1611017,(001) Sheriff
2025-05-16 am,FLORIDA,Lafayette County,32066,lafayette county sheriff,636838,FL0340000,Task Force Model,8732,1611017,(001) Sheriff
2025-05-16 am,FLORIDA,NA,32055,lake city police,636840,FL0120100,Task Force Model,12116,5396432,(003) Local Police
2025-05-16 am,FLORIDA,NA,33406,lake clark shores police,636841,FL0505000,Task Force Model,3628,1366747,(003) Local Police
2025-05-16 am,FLORIDA,Lake County,32778,lake county sheriff,636842,FL0350000,Warrant Service Officer,356495,63978503,(001) Sheriff
2025-05-16 am,FLORIDA,Lake County,32778,lake county sheriff,636842,FL0350000,Task Force Model,356495,63978503,(001) Sheriff
2025-05-16 am,FLORIDA,NA,33852,lake placid police,636847,FL0280200,Task Force Model,2439,800000,(003) Local Police
2025-05-16 am,FLORIDA,NA,33462,lantana police,636850,FL0502000,Task Force Model,11867,4250000,(003) Local Police
2025-05-16 am,FLORIDA,Lee County,33912,lee county sheriff,636856,FL0360000,Jail Enforcement Model,754610,174491595,(001) Sheriff
2025-05-16 am,FLORIDA,Lee County,33912,lee county sheriff,636856,FL0360000,Warrant Service Officer,754610,174491595,(001) Sheriff
2025-05-16 am,FLORIDA,Lee County,33912,lee county sheriff,636856,FL0360000,Task Force Model,754610,174491595,(001) Sheriff
2025-05-16 am,FLORIDA,Leon County,32302,leon county sheriff,636859,FL0370000,Warrant Service Officer,292502,75000000,(001) Sheriff
2025-05-16 am,FLORIDA,Leon County,32302,leon county sheriff,636859,FL0370000,Task Force Model,292502,75000000,(001) Sheriff
2025-05-16 am,FLORIDA,Levy County,32621,levy county sheriff,636860,FL0380000,Warrant Service Officer,40770,12090148,(001) Sheriff
2025-05-16 am,FLORIDA,Levy County,32621,levy county sheriff,636860,FL0380000,Task Force Model,40770,12090148,(001) Sheriff
2025-05-16 am,FLORIDA,Liberty County,32321,liberty county sheriff,636861,FL0390000,Warrant Service Officer,8457,1640000,(001) Sheriff
2025-05-16 am,FLORIDA,Liberty County,32321,liberty county sheriff,636861,FL0390000,Task Force Model,8457,1640000,(001) Sheriff
2025-05-16 am,FLORIDA,NA,33064,lighthouse point police,636862,FL0062000,Task Force Model,11283,5535272,(003) Local Police
2025-05-16 am,FLORIDA,NA,32064,live oak police,636863,FL0610200,Task Force Model,6974,1808003,(003) Local Police
2025-05-16 am,FLORIDA,NA,34228,longboat key police,636864,FL0410500,Task Force Model,7323,3220348,(003) Local Police
2025-05-16 am,FLORIDA,NA,32750,longwood police,636865,FL0590300,Task Force Model,15124,5147147,(003) Local Police
2025-05-16 am,FLORIDA,NA,32444,lynn haven police,636866,FL0030700,Task Force Model,21492,3725273,(003) Local Police
2025-05-16 am,FLORIDA,Madison County,32340,madison county sheriff,636867,FL0400000,Warrant Service Officer,18529,6273905,(001) Sheriff
